,gene_names,weighted_max,weighted_sum
364,GABBR1 /// UBD,0.055707604,11.78841972
365,CGA,0.059564747,9.824577332
366,APOE,0.049098257,-16.11197853
367,FHL2,0.056102809,-13.03873634
368,PDGFC,0.040467218,-15.11451244
369,DUSP6,0.050446711,-12.14151764
370,CSRP2,0.037387673,-16.74006271
371,ORM1 /// ORM2,0.055222727,13.99572945
372,DMD,0.05851391,-13.45917225
373,EPAS1,0.042973697,-14.10282326
374,ELOVL7,0.059365261,2.579257727
375,TFAP2A,0.055109836,-11.93689728
376,SERPINF1,0.045194626,-15.86414623
377,CD9,0.03793015,-15.15822887
378,BNC1,0.057810675,11.629076
379,PKIB,0.054191258,-2.321561337
380,NGFRAP1,0.031719197,-14.45558739
381,TMEM47,0.065170571,-5.036935806
382,MAP1B,0.040934931,-12.82873821
383,IFITM1,0.038591441,-13.96627712
384,RGS2,0.039179441,-17.70891571
385,TMEM71,0.057544462,12.63208199
386,SMOC2,0.062606446,8.842832565
387,RBM47,0.046411585,-12.59463501
388,GAGE1 /// GAGE12F /// GAGE12G /// GAGE12I /// GAGE12J /// GAGE2A /// GAGE2B /// GAGE2C /// GAGE2D /// GAGE2E /// GAGE3 /// GAGE4 /// GAGE5 /// GAGE6 /// GAGE7 /// GAGE8,0.046114996,7.232827187
389,WBP5,0.060893524,-13.23378944
390,LCN2,0.056149669,1.562924147
391,FBN1,0.076204635,0.348760307
392,CYorf15A,0.049495526,12.39379883
393,MPPED2,0.08213941,8.139554024
394,CXCL10,0.062093683,10.97766018
395,GAP43,0.049807414,7.149218082
396,PROK2,0.078150287,10.58641338
397,MIR155HG,0.050537903,9.849216461
398,CDC42EP5,0.061208159,-3.173928261
399,SNX7,0.048794955,-10.73159981
400,BCHE,0.046255663,9.249650955
401,APOBEC3G,0.059804954,-11.82797146
402,PLOD2,0.05102608,-14.9786396
403,ASPN,0.061141472,7.284905434
404,ARMCX1,0.055924546,-12.80369186
405,RIN2,0.042205393,-13.66600227
