index,gene_names,weighted_max,weighted_sum,abs_sum
1955,CNKSR3,0.161750175,-0.764166236,0.764166236
4190,TCTEX1D1,0.084312923,0.7725811,0.7725811
3153,LOC100128868,0.133035243,-0.781033039,0.781033039
2484,CXorf21,0.012195781,0.78310895,0.78310895
4829,TRAM2,0.047827624,-0.786088228,0.786088228
3076,TTTY15,-0.079966582,0.789347649,0.789347649
3976,TWSG1,0.193311751,0.789757013,0.789757013
424,FGFR3,0.107316099,-0.790796936,0.790796936
2401,VSTM1,0.0650561,-0.791096926,0.791096926
1489,SIGLEC10,0.082299747,0.797492743,0.797492743
324,CXCL3,0.017929427,-0.803086281,0.803086281
3987,LOC202181,0.030422702,-0.804499269,0.804499269
1812,BMP5,0.105690956,0.805697441,0.805697441
4918,MYL3,0.166535124,-0.808637738,0.808637738
2835,DBN1,0.092819832,-0.810219288,0.810219288
3681,EGF,0.210002407,-0.827810287,0.827810287
2931,KIAA1644,0.048967369,-0.828917742,0.828917742
1463,TCN1,0.047336318,0.838186264,0.838186264
3655,TNFRSF25,-0.056714177,-0.842058659,0.842058659
4677,RBM14,0.251253903,-0.849824548,0.849824548
3402,RGPD5 /// RGPD6,0.091884442,-0.850287437,0.850287437
5937,EPHB3,0.034942657,0.85345155,0.85345155
600,KLRC1 /// KLRC2,0.123130359,-0.854746819,0.854746819
1003,FAM83H,0.040016435,-0.859081268,0.859081268
4768,PDE7A,0.126493752,-0.862569988,0.862569988
1878,NR4A3,0.125245817,-0.882086277,0.882086277
3535,RPPH1,0.12888483,0.882721424,0.882721424
244,ISG20,0.157994196,-0.890739441,0.890739441
5998,LOC100128439,0.051429912,0.893884659,0.893884659
5144,LOC100505498,0.127602078,-0.896065235,0.896065235
1846,KLRF1,0.129922509,0.897356033,0.897356033
5787,GJB1,0.161838323,-0.897604942,0.897604942
4878,MCAM,0.118395939,0.898510933,0.898510933
3107,ZNF876P,0.049762659,0.899768829,0.899768829
5688,AADAT,0.107536957,-0.89978534,0.89978534
110,BCL2A1,0.176341169,0.904142141,0.904142141
2392,PMP2,0.057876021,0.905675411,0.905675411
155,FLI1,0.081972614,0.908912867,0.908912867
4999,LGI2,0.186989635,0.90908432,0.90908432
1793,PTHLH,0.057634719,-0.910561562,0.910561562
4002,DEFB106A /// DEFB106B,0.213541865,-0.921639919,0.921639919
4514,RHBG,0.01495707,0.926800728,0.926800728
4783,SIX2,0.193707898,-0.932244301,0.932244301
5746,PKP1,0.066857561,-0.938126326,0.938126326
5829,RARB,0.115939125,-0.942783356,0.942783356
289,CEACAM6,0.0676011,-0.952440739,0.952440739
5236,SIGLEC9,0.114769138,0.964847088,0.964847088
114,LAPTM5,0.132285681,0.96518755,0.96518755
5329,ANKRD55,0.030080512,0.965372086,0.965372086
2543,LNX1,0.072865762,0.965743244,0.965743244
4875,EPS8L3,0.151054941,0.980360508,0.980360508
712,PYCARD,0.107303932,-0.98256731,0.98256731
