"Approved.Symbol","Ensembl.ID.supplied.by.Ensembl.","index"
"CDH1","ENSG00000039068",555
"MTREX","ENSG00000039123",556
"DNAH5","ENSG00000039139",557
"ZFYVE16","ENSG00000039319",558
"RIPOR1","ENSG00000039523",559
"C6","ENSG00000039537",560
"RAI14","ENSG00000039560",561
"SOX30","ENSG00000039600",562
"PNKP","ENSG00000039650",563
"BEST2","ENSG00000039987",564
"PHLPP2","ENSG00000040199",565
"SPDL1","ENSG00000040275",566
"STAU2","ENSG00000040341",567
"PQLC2","ENSG00000040487",568
"CTNS","ENSG00000040531",569
"RTN4R","ENSG00000040608",570
"PHF23","ENSG00000040633",571
"CDH10","ENSG00000040731",572
"INPP4A","ENSG00000040933",573
"RAB27B","ENSG00000041353",574
"PSMA4","ENSG00000041357",575
"MYO16","ENSG00000041515",576
"LSG1","ENSG00000041802",577
"PARP3","ENSG00000041880",578
"TNC","ENSG00000041982",579
"THAP3","ENSG00000041988",580
"RIPOR3","ENSG00000042062",581
"TDP1","ENSG00000042088",582
"AIFM2","ENSG00000042286",583
"C2orf83","ENSG00000042304",584
"SPATA7","ENSG00000042317",585
"MED17","ENSG00000042429",586
"RETSAT","ENSG00000042445",587
"CAPG","ENSG00000042493",588
"AP2S1","ENSG00000042753",589
"USH2A","ENSG00000042781",590
"ZPBP","ENSG00000042813",591
"TG","ENSG00000042832",592
"ADAM28","ENSG00000042980",593
"BARX2","ENSG00000043039",594
"DCUN1D1","ENSG00000043093",595
"JADE2","ENSG00000043143",596
"ZIC2","ENSG00000043355",597
"LCP2","ENSG00000043462",598
"TRIT1","ENSG00000043514",599
"ADRB1","ENSG00000043591",600
"GUCA2B","ENSG00000044012",601
"CUL7","ENSG00000044090",602
"CTNNA1","ENSG00000044115",603
"PHKA2","ENSG00000044446",604
"CNTLN","ENSG00000044459",605
"EPHA3","ENSG00000044524",606
"HSPA5","ENSG00000044574",607
"DSG2","ENSG00000046604",608
"GEMIN8","ENSG00000046647",609
"OFD1","ENSG00000046651",610
"GPM6B","ENSG00000046653",611
"MAGEC2","ENSG00000046774",612
"PREX2","ENSG00000046889",613
"WDR37","ENSG00000047056",614
"YTHDC2","ENSG00000047188",615
"CTPS2","ENSG00000047230",616
"ATP6V1H","ENSG00000047249",617
"POLR2B","ENSG00000047315",618
"FAM214A","ENSG00000047346",619
"ARAP2","ENSG00000047365",620
"TPR","ENSG00000047410",621
"CP","ENSG00000047457",622
"KIAA0556","ENSG00000047578",623
"DTNBP1","ENSG00000047579",624
"XK","ENSG00000047597",625
"ANO2","ENSG00000047617",626
"C12orf4","ENSG00000047621",627
"SCML1","ENSG00000047634",628
"WWC3","ENSG00000047644",629
"ARHGAP6","ENSG00000047648",630
"FAM184B","ENSG00000047662",631
"MAP4","ENSG00000047849",632
"GOPC","ENSG00000047932",633
"ROS1","ENSG00000047936",634
"USP28","ENSG00000048028",635
"HDAC9","ENSG00000048052",636
"TSPAN17","ENSG00000048140",637
"NOP16","ENSG00000048162",638
"CC2D2A","ENSG00000048342",639
"RRM2B","ENSG00000048392",640
"ZNF800","ENSG00000048405",641
"TNFRSF17","ENSG00000048462",642
"SNX29","ENSG00000048471",643
"LMO3","ENSG00000048540",644
"MRPS10","ENSG00000048544",645
"GUCA1A","ENSG00000048545",646
"RSF1","ENSG00000048649",647
"VPS13D","ENSG00000048707",648
"CELF2","ENSG00000048740",649
"FAM120A","ENSG00000048828",650
"R3HDM1","ENSG00000048991",651
"COL9A2","ENSG00000049089",652
"KITLG","ENSG00000049130",653
